id,name,text,trans
0000000000000,千奈,ごきげんよう、先生。,老師，你好。
0000000000000,千奈,今日はどんなプロデュースを\nしていただけるのでしょう。,今天要培育我做什麼樣的呢？
0000000000000,千奈,わたくし、とっても楽しみですわ！,我非常期待！
0000000000000,{user},今回のプロデュースですが――,這次的培育是——
0000000000000,千奈,……ごくっ。,……咕噥。
0000000000000,{user},倉本さんの曲を作って、\n次のライブで披露しましょう。,讓我們製作倉本小姐的歌曲，\n在下一場演唱會上演唱吧。
0000000000000,千奈,――――――――――――――――,————
0000000000000,千奈,……せ、先生？　\nいま、なんとおっしゃいましたの？,老、老師？你剛剛說了什麼？
0000000000000,{user},アイドル・倉本千奈のソロ楽曲を、\n次のライブで披露すると。,製作偶像倉本千奈的獨唱曲，\n在下一場演唱會上演出。
0000000000000,千奈,わ、わわわ、わたくしの曲！？,這、這、這是我的歌曲！？
0000000000000,{user},……そこまで驚くことですか？,……這讓你這麼驚訝嗎？
0000000000000,千奈,だ、だだだ、だって先生！？　\nわたくしの曲だなんて！！,老、老、老師！？\n居然是我的歌曲！！
0000000000000,千奈,恐れ多すぎますわ！　まるで本当の\nアイドルみたいですわ～っ！？,太過禮讓了！就像是真正的\n偶像一樣！？
0000000000000,{user},まるで偽物のアイドルみたいなことを\n言わないでください。,請不要說像假的偶像一樣的話。
0000000000000,{user},倉本千奈さん、あなたのご職業は？,倉本千奈小姐，你的職業是？
0000000000000,千奈,そっ、それはもちろん…………,當、當然是…………
0000000000000,千奈,アイドル！　ですわっ！,偶像！就是偶像！
0000000000000,{user},よろしい。では、\nこちらがデモ音源になります。,好的。那麼，\n這是示範音源。
0000000000000,千奈,うぅっ……先生は、動揺する時間さえ\n与えてはくれませんのね……,唔……老師，你甚至不給我\n準備的時間嗎……
0000000000000,{user},さぁ、曲を流しますよ。,好了，我們來播放這首歌。
0000000000000,千奈,急かさないでくださいませぇ！\nあと3秒だけ心の準備を～～！,請不要催我！\n再給我3秒心理準備～～！
0000000000000,千奈,すぅ……はぁ……,嘘……呼……
0000000000000,千奈,――お願いいたします！！！,——拜託了！！！
0000000000000,千奈,……心地よくて、優しい曲ですわね。\nわたくし、とっても好きですわ。,這是一首舒心溫暖的歌曲。\n我非常喜歡。
0000000000000,{user},これは、倉本さんをたくさんの人々に\n知ってもらうための曲です。,這首歌是為了讓更多人\n認識倉本小姐而製作的。
0000000000000,{user},本人のイメージと\n近い曲になっているはずですよ。,應該跟本人形象\n相近的歌曲。
0000000000000,千奈,……この素敵な曲が、\nわたくしのイメージだなんて。,……這首美妙的歌曲，\n竟然是我的形象。
0000000000000,千奈,なんだか、くすぐったいですわ。,有點癢癢的感覺。
0000000000000,{user},この曲を歌いこなせたなら、きっと。,如果能漂亮地演繹這首歌，肯定。
0000000000000,{user},アイドル・倉本千奈の魅力が\n観客へと伝わります。,偶像倉本千奈的魅力將\n傳達給觀眾。
0000000000000,千奈,そうなったら……嬉しいですわ。,如果能做到……我會很高興的。
0000000000000,{user},習得できそうですか？　\n次のライブまでに。,你覺得能掌握嗎？\n在下一場演唱會之前。
0000000000000,千奈,先生、わたくしね。,老師，我呀。
0000000000000,千奈,ま～～～ったく、自信がありませんわ！,完全沒有自信啊！
info,adv_cidol-kcna-3-000_01.txt,,
译者,gpt-3.5-turbo-0125,,
