id,name,text,trans
0000000000000,{user},いよいよ\n勝負の日がやってきましたね。,終於到了\n比賽的日子呢。
0000000000000,{user},調子はいかがですか、佑芽さん。,狀況如何呢，琴音小姐。
0000000000000,佑芽,……あっ、プロデューサーさん……,……啊，製作人……
0000000000000,佑芽,本番直前で申し訳ないんですけども……,對不起，在正式演出前……
0000000000000,佑芽,鼻血が……,鼻血……
0000000000000,{user},――すぐに処置しましょう。,立刻處理吧。
0000000000000,{user},……あとは患部を冷やして……\n……どうですか？,……然後冷卻受傷處……\n……怎麼樣？
0000000000000,佑芽,うぅぅ……ありがとうございます、\nプロデューサーさん。,唔唔……謝謝你，\n製作人。
0000000000000,佑芽,これで！　ばっちり\n勝負に臨めそうです！,這樣！準備好了\n迎接比賽了！
0000000000000,{user},なら、よかった。\n……始まる前から興奮しすぎですよ。,那就太好了。\n……你在比賽前就過度興奮了。
0000000000000,佑芽,……だって。,……因為。
0000000000000,佑芽,あたし……お姉ちゃんとの勝負で……\nこんなに……こんなに……,和姐姐的比賽……\n我這麼……這麼……
0000000000000,佑芽,いまなら勝てるかもって、\n手ごたえがあるのは初めてなんです！,有種可能贏的感覺，\n這種手感是我第一次有！
0000000000000,佑芽,甘く見ているわけじゃないんです。,並不是小看對手。
0000000000000,佑芽,お姉ちゃんの凄さは、\nあたしが一番よく知っています。,姐姐的厲害，\n我最清楚了。
0000000000000,佑芽,だけど……,但是……
0000000000000,佑芽,今日のあたしも、強いですから。,今天的我，也很強。
0000000000000,{user},……震えていますよ。,……你在顫抖。
0000000000000,佑芽,そうですね。,是的。
0000000000000,{user},武者震いですか？,是在打哆嗦嗎？
0000000000000,佑芽,わかりません。,不清楚。
0000000000000,佑芽,いつもよりずっと嬉しくて……\nいつもよりずっと怖いです。,比平常更高興……\n比平常更害怕。
0000000000000,佑芽,知りませんでした……,沒想到……
0000000000000,佑芽,プロデューサーさん。,製作人。
0000000000000,佑芽,……対等なライバルと戦うって……\nこんなに怖いんですね。,和對手站在同一起跑線上……\n原來這麼可怕。
0000000000000,佑芽,胸を張って、自信満々に振る舞うほど、\nどんどんどんどん怖くなって……,越是自信滿滿，挺胸自信，\n越是變得害怕……
0000000000000,佑芽,……もしも今日負けたなら、\nなにもかもが終わってしまうような。,……如果今天輸了，\n感覺就像一切都結束了。
0000000000000,佑芽,いま、そんな気分です。,現在，就是這種心情。
0000000000000,佑芽,……お姉ちゃんも、ずっと……\nそうだったのかな。,……姐姐也一直……\n是這樣嗎。
0000000000000,佑芽,あたしが弱すぎて、\nそんなことなかったのかな。,我太弱，\n是這樣的嗎。
select,,さあ、\n知りませんね,來吧，\n不清楚呢
select,,台詞と表情が\n合っていませんね,台詞和表情\n不搭配呢
select,,万全のようですね,看起來萬無一失呢
0000000000000,佑芽,もぉ～っ！　本番直前でも\nドライなんですからぁ！,真是的！就快開始了，\n也太冷靜了吧！
0000000000000,{user},俺にわかるのは、佑芽さんが\n絶好調だということだけです。,我知道的只有，\n佑芽狀態絕佳這件事。
0000000000000,佑芽,もう……口がうまいんですから。,真是的……口才真好。
0000000000000,{user},気付いていますか？　\nさっきからずっと、笑っていますよ。,你注意到了嗎？\n一直笑得合不攏嘴。
0000000000000,佑芽,はい、しょうがないんですよ、これ。\n自然とこうなっちゃいまして。,是啊，這種情況下也沒辦法，\n不自覺地就這樣了。
0000000000000,佑芽,ふふふ、ふふふふふ……\nふーっふっふっふ！,呵呵呵，呵呵呵呵呵……\n呼呼呼呼呼！
0000000000000,佑芽,いてもたってもいられません！\n早く……早くライブがしたいです！,實在坐立難安！\n我好想……我好想快點開演！
0000000000000,佑芽,ぷ、プロデューサーさん。\nよく見てくださーい。,製作人先生。\n請仔細看一下。
0000000000000,佑芽,ほら、あたし、こんなに\nしょぼーんってしていますよ？,你看，我這樣\n一臉失落的模樣？
0000000000000,{user},俺に見えるのは、担当アイドルが、\nかつてないほど燃えている姿だけです。,在我眼中，看到的是，\n担当偶像以前所未有的熱情。
0000000000000,佑芽,えへへ……バレましたか。,嘿嘿……被發現了嗎。
0000000000000,{user},――さあ、勝負の時間です。,――現在是比賽的時候。
0000000000000,{user},積年の想いを歌に乗せて、\nぶっ飛ばしてやりましょう。,把多年的心情融入歌聲，\n讓它爆發出來吧。
0000000000000,佑芽,はいっ！　いってきます、\nプロデューサーさん！！,好的！ 我出發了，\n製作人先生！！
0000000000000,咲季,やるじゃない、佑芽！,不錯嘛，佑芽！
0000000000000,咲季,このわたしと引き分けるなんて！！,居然和我打成平手！！
0000000000000,佑芽,……お姉ちゃん。,……姐姐。
0000000000000,咲季,――なんて顔してるのよ。,――你在看什麼表情啊。
0000000000000,佑芽,だって……頭も、心も、\nぐちゃぐちゃで。,因為……我的頭腦、心靈，\n都一團糟。
0000000000000,佑芽,やっとお姉ちゃんに追いつけたことを\n喜べばいいのか……,該高興追上姐姐了嗎……
0000000000000,佑芽,また勝ちきれなかったことを\n悔しがればいいのか……！,該為再次無法取勝而\n感到懊惱嗎……！
0000000000000,佑芽,なんにもわかんないよ！,我什麼都不懂！
0000000000000,咲季,なら、それでいいじゃない。,那樣就夠了。
0000000000000,咲季,胸を張って引き分けを誇りなさい――\n本当はそう言いたいところだけどね。,挺著胸誇耀平局吧――\n其實我是想這麼說的。
