id,name,text,trans
0000000000000,千奈,花海さん、篠澤さん。,花海，篠泽。
0000000000000,千奈,ようこそわが家へ。\n歓迎いたしますわっ！,欢迎来到我家。\n非常欢迎你们！
0000000000000,佑芽,千奈ちゃんのおうち、おっきぃね～～！,千奈家的房子，好大啊～～！
0000000000000,広,……びっくり。\n本物のメイドさんがいた。,……好惊讶。\n竟然有真正的女仆在。
0000000000000,千奈,えへへ……ありがとうございます。,嘿嘿……谢谢你们。
0000000000000,千奈,実はわたくし、家に学校のお友達を\n呼ぶのがはじめてで……,其实，这是我第一次\n邀请学校的朋友来家里……
0000000000000,千奈,いま、すっごく\nドキドキしていますわ～～～～♡,现在，我真的\n好紧张啊～～～～♡
0000000000000,広,……千奈と佑芽は……\nわたしの友達？,……千奈和佑芽……\n是我的朋友吗？
0000000000000,佑芽,えぇえぇぇぇっ！？,哎～～～～！？
0000000000000,千奈,違うのですかぁっ！？,不是这样的吗！？
0000000000000,広,よくわからない。\n友達、いたことないから。,我不太明白。\n因为我以前没有朋友。
0000000000000,佑芽,友達だよ！！　絶対友達！！　\nねっ、千奈ちゃん！！,当然是朋友！！ 绝对是朋友！！\n对吧，千奈！！
0000000000000,千奈,はいっ！　だってわたくし、\n篠澤さんのこと大好きですもの！！,是的！ 因为我非常喜欢\n篠泽！！
0000000000000,広,？　……どんなところが？,？ ……喜欢什么地方？
0000000000000,千奈,綺麗なところとかっ！\n成績が近くて話が合うところとかっ！,比如说漂亮的地方！\n成绩接近，聊得来的地方！
0000000000000,千奈,他にもいろいろっ……！　\nお伝えしきれないほどっ！,还有很多很多……！ 多到说不完！
0000000000000,広,……千奈が恥ずかしいことを言う。\nたすけて佑芽。,……千奈说了让我害羞的话。\n救命啊佑芽。
0000000000000,佑芽,うらやまし～～～！　千奈ちゃん、\nあたしの好きなところも言ってよぉ！,好羡慕～～～！ 千奈，\n也说说你喜欢我哪儿嘛！
0000000000000,千奈,なっ……うぅぅ～～～～～～！,啊……呜呜～～～～～～！
0000000000000,千奈,おふたりとも、ひどいですわぁ！！,你们两个，太过分了！！
info,adv_csprt-3-0010_01.txt,,
译者,gpt-4o-2024-05-13,,
